Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR2818954,302,13048199920,PRJEB21343,SAMEA104139237,ERX2825761,HiSeq X Ten,DN490201M:B10,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818955,302,13811651692,PRJEB21343,SAMEA104139238,ERX2825762,HiSeq X Ten,DN490201M:C10,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818956,302,12907029718,PRJEB21343,SAMEA104139239,ERX2825763,HiSeq X Ten,DN490201M:D10,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818957,302,15030613990,PRJEB21343,SAMEA104139240,ERX2825764,HiSeq X Ten,DN490201M:E10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818958,302,13099966948,PRJEB21343,SAMEA104139241,ERX2825765,HiSeq X Ten,DN490201M:F10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818959,302,15957282266,PRJEB21343,SAMEA104139242,ERX2825766,HiSeq X Ten,DN490201M:G10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818960,302,15637299676,PRJEB21343,SAMEA104139243,ERX2825767,HiSeq X Ten,DN490201M:H10,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818961,302,16658551030,PRJEB21343,SAMEA104139164,ERX2825768,HiSeq X Ten,DN490201M:A1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818962,302,15481577906,PRJEB21343,SAMEA104139165,ERX2825769,HiSeq X Ten,DN490201M:B1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818963,302,15988508462,PRJEB21343,SAMEA104139166,ERX2825770,HiSeq X Ten,DN490201M:C1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818964,302,15172671468,PRJEB21343,SAMEA104139167,ERX2825771,HiSeq X Ten,DN490201M:D1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818965,302,15893811832,PRJEB21343,SAMEA104139168,ERX2825772,HiSeq X Ten,DN490201M:E1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818966,302,14872143114,PRJEB21343,SAMEA104139169,ERX2825773,HiSeq X Ten,DN490201M:F1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818967,302,16163017954,PRJEB21343,SAMEA104139170,ERX2825774,HiSeq X Ten,DN490201M:G1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818968,302,16185169352,PRJEB21343,SAMEA104139171,ERX2825775,HiSeq X Ten,DN490201M:H1,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818969,302,13459385604,PRJEB21343,SAMEA104139172,ERX2825776,HiSeq X Ten,DN490201M:A2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818970,302,16572781520,PRJEB21343,SAMEA104139173,ERX2825777,HiSeq X Ten,DN490201M:B2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818971,302,13587714464,PRJEB21343,SAMEA104139174,ERX2825778,HiSeq X Ten,DN490201M:C2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818972,302,16053856732,PRJEB21343,SAMEA104139175,ERX2825779,HiSeq X Ten,DN490201M:D2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818973,302,16919192432,PRJEB21343,SAMEA104139176,ERX2825780,HiSeq X Ten,DN490201M:E2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818974,302,16457329034,PRJEB21343,SAMEA104139177,ERX2825781,HiSeq X Ten,DN490201M:F2,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia zebra
ERR2818975,302,17868788548,PRJEB21343,SAMEA104139178,ERX2825782,HiSeq X Ten,DN490201M:G2,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818976,302,18336187606,PRJEB21343,SAMEA104139179,ERX2825783,HiSeq X Ten,DN490201M:H2,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818977,302,16512750262,PRJEB21343,SAMEA104139180,ERX2825784,HiSeq X Ten,DN490201M:A3,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818978,302,16040990324,PRJEB21343,SAMEA104139181,ERX2825785,HiSeq X Ten,DN490201M:B3,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR2818979,302,16938620092,PRJEB21343,SAMEA104139182,ERX2825786,HiSeq X Ten,DN490201M:C3,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
