Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,FileLocations
MCYHBC1-569-1,300,0,low_coverage_fish,MCYHBC1-569-1,low_coverage_fish,Element AVITI,MCYHBC1-569-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-569-1-m/MCYHBC1-569-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-569-1-m/MCYHBC1-569-1-m_L2_R2.fastq.gz"
MCYHBC1-572-1,300,0,low_coverage_fish,MCYHBC1-572-1,low_coverage_fish,Element AVITI,MCYHBC1-572-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-572-1-m/MCYHBC1-572-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-572-1-m/MCYHBC1-572-1-m_L2_R2.fastq.gz"
MCYHBC1-579-1,300,0,low_coverage_fish,MCYHBC1-579-1,low_coverage_fish,Element AVITI,MCYHBC1-579-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-579-1-f/MCYHBC1-579-1-f_L2_R1.fastq.gz,,PM28/MCYHBC1-579-1-f/MCYHBC1-579-1-f_L2_R2.fastq.gz"
MCYHBC1-580-1,300,0,low_coverage_fish,MCYHBC1-580-1,low_coverage_fish,Element AVITI,MCYHBC1-580-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-580-1-m/MCYHBC1-580-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-580-1-m/MCYHBC1-580-1-m_L2_R2.fastq.gz"
MCYHBC1-581-1,300,0,low_coverage_fish,MCYHBC1-581-1,low_coverage_fish,Element AVITI,MCYHBC1-581-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-581-1-m/MCYHBC1-581-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-581-1-m/MCYHBC1-581-1-m_L2_R2.fastq.gz"
MCYHBC1-583-1,300,0,low_coverage_fish,MCYHBC1-583-1,low_coverage_fish,Element AVITI,MCYHBC1-583-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-583-1-f/MCYHBC1-583-1-f_L2_R1.fastq.gz,,PM28/MCYHBC1-583-1-f/MCYHBC1-583-1-f_L2_R2.fastq.gz"
MCYHBC1-584-1,300,0,low_coverage_fish,MCYHBC1-584-1,low_coverage_fish,Element AVITI,MCYHBC1-584-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-584-1-m/MCYHBC1-584-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-584-1-m/MCYHBC1-584-1-m_L2_R2.fastq.gz"
MCYHBC1-587-1,300,0,low_coverage_fish,MCYHBC1-587-1,low_coverage_fish,Element AVITI,MCYHBC1-587-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-587-1-f/MCYHBC1-587-1-f_L2_R1.fastq.gz,,PM28/MCYHBC1-587-1-f/MCYHBC1-587-1-f_L2_R2.fastq.gz"
MCYHBC1-588-1,300,0,low_coverage_fish,MCYHBC1-588-1,low_coverage_fish,Element AVITI,MCYHBC1-588-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-588-1-f/MCYHBC1-588-1-f_L2_R1.fastq.gz,,PM28/MCYHBC1-588-1-f/MCYHBC1-588-1-f_L2_R2.fastq.gz"
MCYHBC1-589-1,300,0,low_coverage_fish,MCYHBC1-589-1,low_coverage_fish,Element AVITI,MCYHBC1-589-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-589-1-m/MCYHBC1-589-1-m_L2_R1.fastq.gz,,PM28/MCYHBC1-589-1-m/MCYHBC1-589-1-m_L2_R2.fastq.gz"
MCYHBC1-597-1,300,0,low_coverage_fish,MCYHBC1-597-1,low_coverage_fish,Element AVITI,MCYHBC1-597-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM28/MCYHBC1-597-1-f/MCYHBC1-597-1-f_L2_R1.fastq.gz,,PM28/MCYHBC1-597-1-f/MCYHBC1-597-1-f_L2_R2.fastq.gz"
