Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,FileLocations
MC-5G11G,300,0,sex_determination_paper_2026,MC-5G11G,sex_determination_paper_2026,Element AVITI,MC-5G11G_library,PAIRED,-,GENOMIC,Mchenga conophoros,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MC-5G11G-f/MC-5G11G-f_R1.fastq.gz,,PM26/MC-5G11G-f/MC-5G11G-f_R2.fastq.gz"
MCYHBC1-564-1,300,0,sex_determination_paper_2026,MCYHBC1-564-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-564-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-564-1-m/MCYHBC1-564-1-m_R1.fastq.gz,,PM26/MCYHBC1-564-1-m/MCYHBC1-564-1-m_R2.fastq.gz"
MCYHBC1-579-1,300,0,sex_determination_paper_2026,MCYHBC1-579-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-579-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-579-1-f/MCYHBC1-579-1-f_R1.fastq.gz,,PM26/MCYHBC1-579-1-f/MCYHBC1-579-1-f_R2.fastq.gz"
MCYHBC1-602-1,300,0,sex_determination_paper_2026,MCYHBC1-602-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-602-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-602-1-m/MCYHBC1-602-1-m_R1.fastq.gz,,PM26/MCYHBC1-602-1-m/MCYHBC1-602-1-m_R2.fastq.gz"
MCYHBC1-614-1,300,0,sex_determination_paper_2026,MCYHBC1-614-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-614-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-614-1-m/MCYHBC1-614-1-m_R1.fastq.gz,,PM26/MCYHBC1-614-1-m/MCYHBC1-614-1-m_R2.fastq.gz"
MCYHBC1-629-1,300,0,sex_determination_paper_2026,MCYHBC1-629-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-629-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-629-1-f/MCYHBC1-629-1-f_R1.fastq.gz,,PM26/MCYHBC1-629-1-f/MCYHBC1-629-1-f_R2.fastq.gz"
MCYHBC1-642-1,300,0,sex_determination_paper_2026,MCYHBC1-642-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-642-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-642-1-m/MCYHBC1-642-1-m_R1.fastq.gz,,PM26/MCYHBC1-642-1-m/MCYHBC1-642-1-m_R2.fastq.gz"
MCYHBC1-645-1,300,0,sex_determination_paper_2026,MCYHBC1-645-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-645-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-645-1-m/MCYHBC1-645-1-m_R1.fastq.gz,,PM26/MCYHBC1-645-1-m/MCYHBC1-645-1-m_R2.fastq.gz"
MCYHBC1-655-1,300,0,sex_determination_paper_2026,MCYHBC1-655-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-655-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-655-1-f/MCYHBC1-655-1-f_R1.fastq.gz,,PM26/MCYHBC1-655-1-f/MCYHBC1-655-1-f_R2.fastq.gz"
MCYHBC1-661-1,300,0,sex_determination_paper_2026,MCYHBC1-661-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-661-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-661-1-f/MCYHBC1-661-1-f_R1.fastq.gz,,PM26/MCYHBC1-661-1-f/MCYHBC1-661-1-f_R2.fastq.gz"
MCYHBC1-737-1,300,0,sex_determination_paper_2026,MCYHBC1-737-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-737-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-737-1-f/MCYHBC1-737-1-f_R1.fastq.gz,,PM26/MCYHBC1-737-1-f/MCYHBC1-737-1-f_R2.fastq.gz"
MCYHBC1-804-1,300,0,sex_determination_paper_2026,MCYHBC1-804-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-804-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-804-1-m/MCYHBC1-804-1-m_R1.fastq.gz,,PM26/MCYHBC1-804-1-m/MCYHBC1-804-1-m_R2.fastq.gz"
MCYHBC1-809-1,300,0,sex_determination_paper_2026,MCYHBC1-809-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-809-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-809-1-m/MCYHBC1-809-1-m_R1.fastq.gz,,PM26/MCYHBC1-809-1-m/MCYHBC1-809-1-m_R2.fastq.gz"
MCYHBC1-825-1,300,0,sex_determination_paper_2026,MCYHBC1-825-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-825-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-825-1-f/MCYHBC1-825-1-f_R1.fastq.gz,,PM26/MCYHBC1-825-1-f/MCYHBC1-825-1-f_R2.fastq.gz"
MCYHBC1-834-1,300,0,sex_determination_paper_2026,MCYHBC1-834-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-834-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-834-1-f/MCYHBC1-834-1-f_R1.fastq.gz,,PM26/MCYHBC1-834-1-f/MCYHBC1-834-1-f_R2.fastq.gz"
MCYHBC1-840-1,300,0,sex_determination_paper_2026,MCYHBC1-840-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-840-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-840-1-f/MCYHBC1-840-1-f_R1.fastq.gz,,PM26/MCYHBC1-840-1-f/MCYHBC1-840-1-f_R2.fastq.gz"
MCYHBC1-886-1,300,0,sex_determination_paper_2026,MCYHBC1-886-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-886-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-886-1-m/MCYHBC1-886-1-m_R1.fastq.gz,,PM26/MCYHBC1-886-1-m/MCYHBC1-886-1-m_R2.fastq.gz"
MCYHBC1-894-1,300,0,sex_determination_paper_2026,MCYHBC1-894-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-894-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-894-1-f/MCYHBC1-894-1-f_R1.fastq.gz,,PM26/MCYHBC1-894-1-f/MCYHBC1-894-1-f_R2.fastq.gz"
MCYHBC1-905-1,300,0,sex_determination_paper_2026,MCYHBC1-905-1,sex_determination_paper_2026,Element AVITI,MCYHBC1-905-1_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay BC1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHBC1-905-1-m/MCYHBC1-905-1-m_R1.fastq.gz,,PM26/MCYHBC1-905-1-m/MCYHBC1-905-1-m_R2.fastq.gz"
MCYHF1-002,300,0,sex_determination_paper_2026,MCYHF1-002,sex_determination_paper_2026,Element AVITI,MCYHF1-002_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay F1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHF1-002-m/MCYHF1-002-m_R1.fastq.gz,,PM26/MCYHF1-002-m/MCYHF1-002-m_R2.fastq.gz"
MCYHF1-003,300,0,sex_determination_paper_2026,MCYHF1-003,sex_determination_paper_2026,Element AVITI,MCYHF1-003_library,PAIRED,-,GENOMIC,Mchenga conophoros x Aulonocara sp. 'chitande type north' Nkhata Bay F1 hybrid,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/MCYHF1-003-m/MCYHF1-003-m_R1.fastq.gz,,PM26/MCYHF1-003-m/MCYHF1-003-m_R2.fastq.gz"
YH_015,300,0,sex_determination_paper_2026,YH_015,sex_determination_paper_2026,Element AVITI,YH_015_library,PAIRED,-,GENOMIC,Aulonocara sp. 'chitande type north' Nkhata Bay,ELEMENT Cloudbreak FS,MappingYHSexDeterminer,"PM26/YH_015_m/YH_015_m_R1.fastq.gz,,PM26/YH_015_m/YH_015_m_R2.fastq.gz"
