Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
17,SAMN08051114,Maylandia zebra,Mzebra_UMD2a,SRR6314225,27.80284654,266208158,250982,216370,3152099,2462292,0.7.17,4.2.6.1,0.15.3,22895252749,RockSand_v1,3777977,6691894,RockSand_v1/SRR6314225.unmapped_marked_adapters.bam,Labeotropheus fuelleborni,Mbuna
18,SAMEA4032109,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749421,33.36312834,211554329,307318,320844,3172450,5644979,0.7.17,4.2.6.0,0.15.3,22609644740,PRJEB15289,1069082,7865458,PRJEB15289/ERR1749421.unmapped_marked_adapters.bam,Protomelas similis,Shallow_Benthic
19,SAMN06685767,Maylandia zebra,Mzebra_UMD2a,SRR6322515,43.96583161,420966358,382798,305716,4290442,3432608,0.7.17,4.2.6.1,0.15.3,34450669705,RockSand_v1,8545591,9358106,RockSand_v1/SRR6322515.unmapped_marked_adapters.bam,Maylandia zebra,Mbuna
20,SAMN06685752,Maylandia zebra,Mzebra_UMD2a,SRR5438109,18.93854874,181333813,244944,153608,2443207,2151900,0.7.17,4.2.6.1,0.15.3,12770982034,RockSand_v1,22053836,4463722,RockSand_v1/SRR5438109.unmapped_marked_adapters.bam,Tramitichromis sp. 'chembe',Shallow_Benthic
21,SAMEA4032052,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749479,31.53423361,199957377,302126,327272,3153401,5785921,0.7.17,4.2.6.0,0.15.3,20179951441,PRJEB15289,1037664,8153472,PRJEB15289/ERR1749479.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic
22,SAMN06685761,Maylandia zebra,Mzebra_UMD2a,SRR5438115,31.72501991,303762390,475810,260548,4020619,4131279,0.7.17,4.2.6.1,0.15.3,20947512845,RockSand_v1,32479793,8173496,RockSand_v1/SRR5438115.unmapped_marked_adapters.bam,Aulonocara baenschi,Shallow_Benthic
23,SAMN08051121,Maylandia zebra,Mzebra_UMD2a,SRR6314230,9.591135284,92761320,74600,44436,594055,742120,0.7.17,4.2.6.1,0.15.3,6110858055,RockSand_v1,7633229,1796818,RockSand_v1/SRR6314230.unmapped_marked_adapters.bam,Genyochromis mento,Mbuna
24,SAMEA4033287,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749522,37.79862472,239679643,409848,456524,4063271,7842277,0.7.17,4.2.6.0,0.15.3,23750210541,PRJEB15289,1195567,10457646,PRJEB15289/ERR1749522.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa,Diplotaxodon
25,SAMN06685750,Maylandia zebra,Mzebra_UMD2a,SRR5438110,28.27199632,270700198,312408,279768,4466414,3387018,0.7.17,4.2.6.1,0.15.3,20443061759,RockSand_v1,8857692,9366676,RockSand_v1/SRR5438110.unmapped_marked_adapters.bam,Copadichromis likomae,Utaka
26,SAMEA4033312,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749433,35.12446203,222722879,332866,347896,3403881,6216778,0.7.17,4.2.6.0,0.15.3,22647546986,PRJEB15289,1178893,8170188,PRJEB15289/ERR1749433.unmapped_marked_adapters.bam,Taeniolethrinops praeorbitalis,Shallow_Benthic
27,SAMN06685766,Maylandia zebra,Mzebra_UMD2a,SRR5438111,19.16913349,183541628,177560,100102,2842359,1212806,0.7.17,4.2.6.1,0.15.3,14026270264,RockSand_v1,62596301,6301508,RockSand_v1/SRR5438111.unmapped_marked_adapters.bam,Mylochromis lateristriga,Shallow_Benthic
28,SAMN08051119,Maylandia zebra,Mzebra_UMD2a,SRR6314224,15.23551284,145877790,162666,109540,1786541,1348814,0.7.17,4.2.6.1,0.15.3,10809656152,RockSand_v1,2575612,4356284,RockSand_v1/SRR6314224.unmapped_marked_adapters.bam,Labeotropheus trewavasae,Mbuna
