,SampleID,metadata_id
352,SAMEA4033306,SAMEA4033306_Shallow_Benthic
353,SAMEA1904322,SAMEA1904322_Deep_Benthic
354,SAMEA4032129,SAMEA4032129_Mbuna
355,SAMEA1904324,SAMEA1904324_Utaka
356,SAMEA1877417,SAMEA1877417_Shallow_Benthic
357,SAMEA4033269,SAMEA4033269_Shallow_Benthic
359,SAMEA4032105,SAMEA4032105_Shallow_Benthic
360,SAMEA1877489,SAMEA1877489_Deep_Benthic
361,SAMEA4033258,SAMEA4033258_Shallow_Benthic
362,SAMEA4033329,SAMEA4033329_Diplotaxodon
364,SAMEA1877472,SAMEA1877472_Shallow_Benthic
365,SAMEA4033281,SAMEA4033281_Mbuna
366,SAMEA1877469,SAMEA1877469_Deep_Benthic
367,SAMEA4033292,SAMEA4033292_Shallow_Benthic
368,SAMEA2661258,SAMEA2661258_Shallow_Benthic
369,SAMEA4032136,SAMEA4032136_Diplotaxodon
370,SAMEA6147773,SAMEA6147773_Utaka
371,SAMEA4033251,SAMEA4033251_Mbuna
372,SAMEA1877433,SAMEA1877433_Shallow_Benthic
374,SAMEA4032070,SAMEA4032070_Mbuna
375,SAMEA2661257,SAMEA2661257_Mbuna
380,SAMEA1904837,SAMEA1904837_Deep_Benthic
381,SAMEA4033291,SAMEA4033291_Diplotaxodon
383,SAMEA2661223,SAMEA2661223_Utaka
384,SAMEA4032035,SAMEA4032035_Mbuna
385,SAMEA2661248,SAMEA2661248_Deep_Benthic
386,SAMEA4033303,SAMEA4033303_Shallow_Benthic
387,SAMEA2661234,SAMEA2661234_Shallow_Benthic
389,SAMEA4033302,SAMEA4033302_Shallow_Benthic
392,SAMEA4033252,SAMEA4033252_Mbuna
394,SAMEA2661252,SAMEA2661252_Diplotaxodon
396,SAMEA1877503,SAMEA1877503_Shallow_Benthic
397,SAMEA2661290,SAMEA2661290_Shallow_Benthic
398,SAMEA4033260,SAMEA4033260_Utaka
399,SAMEA2661261,SAMEA2661261_Shallow_Benthic
400,SAMEA4032099,SAMEA4032099_Deep_Benthic
405,SAMEA4051560,SAMEA4051560_Deep_Benthic
406,SAMEA2661236,SAMEA2661236_Shallow_Benthic
408,SAMEA4033267,SAMEA4033267_Shallow_Benthic
410,SAMEA4032115,SAMEA4032115_Shallow_Benthic
412,SAMEA4033298,SAMEA4033298_Shallow_Benthic
414,SAMEA4032055,SAMEA4032055_Shallow_Benthic
416,SAMEA4033294,SAMEA4033294_Mbuna
418,SAMEA2661232,SAMEA2661232_Shallow_Benthic
419,SAMEA4033315,SAMEA4033315_Deep_Benthic
420,SAMEA2661254,SAMEA2661254_Shallow_Benthic
422,SAMEA4032128,SAMEA4032128_Mbuna
425,SAMEA3388862,SAMEA3388862_Shallow_Benthic
428,SAMEA2661247,SAMEA2661247_Deep_Benthic
429,SAMEA4033301,SAMEA4033301_Shallow_Benthic
430,SAMEA1877484,SAMEA1877484_Deep_Benthic
431,SAMEA4033308,SAMEA4033308_Shallow_Benthic
432,SAMEA6147774,SAMEA6147774_Diplotaxodon
435,SAMEA4032113,SAMEA4032113_Shallow_Benthic
437,SAMEA4033304,SAMEA4033304_Shallow_Benthic
440,SAMEA4033319,SAMEA4033319_Diplotaxodon
442,SAMEA3388870,SAMEA3388870_Diplotaxodon
443,SAMEA4033305,SAMEA4033305_Shallow_Benthic
446,SAMEA4033254,SAMEA4033254_Shallow_Benthic
447,SAMEA1877451,SAMEA1877451_Shallow_Benthic
448,SAMEA4032067,SAMEA4032067_Mbuna
451,SAMEA2661283,SAMEA2661283_Utaka
452,SAMEA4032137,SAMEA4032137_Diplotaxodon
